playlist,added_at,artist_id,artist_name,track_id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,3qo2q05gFa09MXrEZltr7q,Nobantu Vilakazi,40KwdYRfKnTWTsXyxmR5bp,Banyana Ke Bafana,0.883,0.733,10,-7.567,0,0.0478,0.0411,3.39e-6,0.059,0.406,112.991,274154,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,1bNjWBFWsAAzZSR59lRdpR,Kabza De Small,6F70m9aMK4PSJKBfp1H8DZ,Asibe Happy,0.805,0.626,4,-12.542,0,0.0473,0.0712,0.0793,0.256,0.188,113,458778,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,0mMqD2uqwvCjFvlzo6ayGi,DJ Maphorisa,6F70m9aMK4PSJKBfp1H8DZ,Asibe Happy,0.805,0.626,4,-12.542,0,0.0473,0.0712,0.0793,0.256,0.188,113,458778,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,3flcjKgRCeBVZTR8n8iShE,Ami Faku,6F70m9aMK4PSJKBfp1H8DZ,Asibe Happy,0.805,0.626,4,-12.542,0,0.0473,0.0712,0.0793,0.256,0.188,113,458778,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,5cAwYPpCI9QI5V7N0mxUKw,Senior Oat,75VD2d6BPTuESBrzRqD6xl,All In You,0.609,0.301,10,-13.958,0,0.11,0.00944,0.00341,0.186,0.321,211.997,512183,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,21ubOXEDOMELSW2LDxG8HK,Kemy Chienda,75VD2d6BPTuESBrzRqD6xl,All In You,0.609,0.301,10,-13.958,0,0.11,0.00944,0.00341,0.186,0.321,211.997,512183,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,3Oa0mJQWQrUOqJ8fcLuu7l,DBN Gogo,7c5rKCDYYbyBsLlJ00NgCD,Bells,0.829,0.287,1,-17.364,1,0.075,0.0377,0.895,0.06,0.302,111.995,351484,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2oA819q93vu53ZDkCJYdbN,TNK MusiQ,7c5rKCDYYbyBsLlJ00NgCD,Bells,0.829,0.287,1,-17.364,1,0.075,0.0377,0.895,0.06,0.302,111.995,351484,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,36KSzfIAH1QPHtgxgCNAs8,DJ Stopper,7c5rKCDYYbyBsLlJ00NgCD,Bells,0.829,0.287,1,-17.364,1,0.075,0.0377,0.895,0.06,0.302,111.995,351484,4
Lagu Teratas - Afrika Selatan,2022-05-13T12:02:41Z,2UizOudF54jbl9PllMTaEM,Eltonk SA,7c5rKCDYYbyBsLlJ00NgCD,Bells,0.829,0.287,1,-17.364,1,0.075,0.0377,0.895,0.06,0.302,111.995,351484,4
