genre,track_album_release_year,valence_mean
reggae,1997,0.67925
reggae,1998,0.7896666666666666
reggae,1999,0.6443333333333333
reggae,2000,0.7531428571428571
reggae,2001,0.835875
reggae,2002,0.7261111111111112
reggae,2003,0.7334583333333333
reggae,2004,0.7489090909090909
reggae,2005,0.7279814814814815
reggae,2006,0.6943076923076923
reggae,2007,0.7093551401869159
reggae,2008,0.6961627906976744
reggae,2009,0.722
reggae,2010,0.7328369565217391
reggae,2011,0.7116428571428571
reggae,2012,0.7507323943661972
reggae,2013,0.6995813953488372
reggae,2014,0.747024
reggae,2015,0.7662264150943396
reggae,2016,0.7281188811188811
reggae,2017,0.6984313725490197
reggae,2018,0.6866356589147287
reggae,2019,0.6738469879518072
reggae,2020,0.6812582417582418
reggae,2021,0.6945958083832335
reggae,2022,0.6451174377224199
reggae,NA,0.7750819672131147
rock,1959,0.969
rock,1964,0.961
rock,1965,0.6767500000000001
rock,1966,0.688
rock,1967,0.5716666666666667
rock,1968,0.50925
rock,1969,0.4238571428571429
rock,1970,0.5525555555555556
rock,1971,0.4159333333333333
rock,1972,0.5716153846153846
rock,1973,0.4732857142857143
rock,1974,0.6714285714285715
rock,1975,0.4435
rock,1976,0.6702727272727272
rock,1977,0.6014666666666667
rock,1978,0.8525555555555556
rock,1979,0.6825928571428571
rock,1980,0.68805
rock,1981,0.5040909090909091
rock,1982,0.6219285714285714
rock,1983,0.66525
rock,1984,0.5848947368421052
rock,1985,0.5663809523809524
rock,1986,0.5866
rock,1987,0.543
rock,1988,0.5336206896551724
rock,1989,0.5221290322580645
rock,1990,0.48009090909090907
rock,1991,0.47833442622950817
rock,1992,0.5270697674418605
rock,1993,0.5408653846153846
rock,1994,0.5078620689655172
rock,1995,0.5202340425531915
rock,1996,0.5455
rock,1997,0.5458260869565217
rock,1998,0.5694066666666666
rock,1999,0.5590689655172414
rock,2000,0.48675981308411215
rock,2001,0.48606716417910445
rock,2002,0.5625416666666667
rock,2003,0.5561123287671232
rock,2004,0.5461275
rock,2005,0.494253164556962
rock,2006,0.5303296703296704
rock,2007,0.5888140845070422
rock,2008,0.55058
rock,2009,0.5323739130434783
rock,2010,0.48879545454545453
rock,2011,0.5414766666666667
rock,2012,0.5375945945945946
rock,2013,0.4950780487804878
rock,2014,0.5549411764705883
rock,2015,0.5164276595744681
rock,2016,0.5206274509803922
rock,2017,0.4328320754716981
rock,2018,0.5058746031746032
rock,2019,0.5376865671641791
rock,2020,0.5047936936936936
rock,2021,0.513844094488189
rock,2022,0.4933394495412844
rock,NA,0.5434505859375
