candidate,twitter_handle,date_tweet_created,tweet,rolling_mean_7_day
Ganjar Pranowo,ganjarpranowo,2022-06-13,4,5.571428571428571
Ganjar Pranowo,ganjarpranowo,2022-06-14,3,5.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-06-15,3,4.428571428571429
Ganjar Pranowo,ganjarpranowo,2022-06-16,2,3.857142857142857
Ganjar Pranowo,ganjarpranowo,2022-06-17,5,3.5714285714285716
Ganjar Pranowo,ganjarpranowo,2022-06-18,8,4.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-06-19,6,4.428571428571429
Ganjar Pranowo,ganjarpranowo,2022-06-20,5,4.571428571428571
Ganjar Pranowo,ganjarpranowo,2022-06-21,7,5.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-06-22,4,5.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-06-23,3,5.428571428571429
Ganjar Pranowo,ganjarpranowo,2022-06-24,3,5.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-06-25,4,4.571428571428571
Ganjar Pranowo,ganjarpranowo,2022-06-26,5,4.428571428571429
Ganjar Pranowo,ganjarpranowo,2022-06-27,2,4
Ganjar Pranowo,ganjarpranowo,2022-06-28,6,3.857142857142857
Ganjar Pranowo,ganjarpranowo,2022-06-29,3,3.7142857142857144
Ganjar Pranowo,ganjarpranowo,2022-06-30,5,4
Ganjar Pranowo,ganjarpranowo,2022-07-01,5,4.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-07-02,3,4.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-07-03,6,4.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-07-04,3,4.428571428571429
Ganjar Pranowo,ganjarpranowo,2022-07-05,5,4.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-07-06,2,4.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-07-07,5,4.142857142857143
Ganjar Pranowo,ganjarpranowo,2022-07-08,6,4.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-07-09,6,4.714285714285714
Ganjar Pranowo,ganjarpranowo,2022-07-10,3,4.285714285714286
Ganjar Pranowo,ganjarpranowo,2022-07-11,4,4.428571428571429
Ganjar Pranowo,ganjarpranowo,2022-07-12,6,4.571428571428571
Ganjar Pranowo,ganjarpranowo,2022-07-13,8,5.428571428571429
Mahfud MD,mohmahfudmd,2022-03-24,3,NA
Mahfud MD,mohmahfudmd,2022-03-31,1,NA
Mahfud MD,mohmahfudmd,2022-04-01,2,NA
Mahfud MD,mohmahfudmd,2022-04-02,1,NA
Mahfud MD,mohmahfudmd,2022-04-06,6,NA
Mahfud MD,mohmahfudmd,2022-04-07,1,NA
Mahfud MD,mohmahfudmd,2022-04-09,2,2.2857142857142856
Mahfud MD,mohmahfudmd,2022-04-11,2,2.142857142857143
Mahfud MD,mohmahfudmd,2022-04-13,1,2.142857142857143
Mahfud MD,mohmahfudmd,2022-04-15,1,2
Mahfud MD,mohmahfudmd,2022-04-16,1,2
Mahfud MD,mohmahfudmd,2022-04-17,1,1.2857142857142858
Mahfud MD,mohmahfudmd,2022-04-19,3,1.5714285714285714
Mahfud MD,mohmahfudmd,2022-04-21,1,1.4285714285714286
Mahfud MD,mohmahfudmd,2022-04-22,1,1.2857142857142858
Mahfud MD,mohmahfudmd,2022-04-24,1,1.2857142857142858
Mahfud MD,mohmahfudmd,2022-04-25,1,1.2857142857142858
Mahfud MD,mohmahfudmd,2022-04-28,5,1.8571428571428572
Mahfud MD,mohmahfudmd,2022-04-29,4,2.2857142857142856
Mahfud MD,mohmahfudmd,2022-04-30,4,2.4285714285714284
Mahfud MD,mohmahfudmd,2022-05-01,4,2.857142857142857
Mahfud MD,mohmahfudmd,2022-05-05,2,3
Mahfud MD,mohmahfudmd,2022-05-07,2,3.142857142857143
Mahfud MD,mohmahfudmd,2022-05-08,2,3.2857142857142856
Mahfud MD,mohmahfudmd,2022-05-10,5,3.2857142857142856
Mahfud MD,mohmahfudmd,2022-05-11,5,3.4285714285714284
Mahfud MD,mohmahfudmd,2022-05-12,4,3.4285714285714284
Mahfud MD,mohmahfudmd,2022-05-13,3,3.2857142857142856
Mahfud MD,mohmahfudmd,2022-05-22,3,3.4285714285714284
Mahfud MD,mohmahfudmd,2022-05-23,3,3.5714285714285716
Mahfud MD,mohmahfudmd,2022-05-25,1,3.4285714285714284
Mahfud MD,mohmahfudmd,2022-05-27,1,2.857142857142857
Mahfud MD,mohmahfudmd,2022-05-29,3,2.5714285714285716
Mahfud MD,mohmahfudmd,2022-05-31,3,2.4285714285714284
Mahfud MD,mohmahfudmd,2022-06-02,1,2.142857142857143
Mahfud MD,mohmahfudmd,2022-06-10,1,1.8571428571428572
Mahfud MD,mohmahfudmd,2022-06-11,1,1.5714285714285714
Mahfud MD,mohmahfudmd,2022-06-13,1,1.5714285714285714
Mahfud MD,mohmahfudmd,2022-06-19,1,1.5714285714285714
Mahfud MD,mohmahfudmd,2022-06-23,5,1.8571428571428572
Mahfud MD,mohmahfudmd,2022-06-25,4,2
Mahfud MD,mohmahfudmd,2022-06-28,2,2.142857142857143
Mahfud MD,mohmahfudmd,2022-07-01,1,2.142857142857143
Mahfud MD,mohmahfudmd,2022-07-02,4,2.5714285714285716
Mahfud MD,mohmahfudmd,2022-07-05,2,2.7142857142857144
Mahfud MD,mohmahfudmd,2022-07-06,1,2.7142857142857144
Mahfud MD,mohmahfudmd,2022-07-07,12,3.7142857142857144
Mahfud MD,mohmahfudmd,2022-07-08,1,3.2857142857142856
Mahfud MD,mohmahfudmd,2022-07-09,1,3.142857142857143
Puan Maharani,puanmaharani_ri,2022-03-08,7,NA
Puan Maharani,puanmaharani_ri,2022-03-09,6,NA
Puan Maharani,puanmaharani_ri,2022-03-10,6,NA
Puan Maharani,puanmaharani_ri,2022-03-11,11,NA
Puan Maharani,puanmaharani_ri,2022-03-12,2,NA
Puan Maharani,puanmaharani_ri,2022-03-13,2,NA
Puan Maharani,puanmaharani_ri,2022-03-14,16,7.142857142857143
